,City,Country,Lat,Lng,Max Temperature,Humidity,Wind speed,Date,Cloudiness
371,gallipoli,IN,16.7333,82.2167,26,69,2.57,1615220396,0
372,saint-jerome,NA,-22,15.6,31.08,16,8.75,1615220396,0
373,tambura,CN,36.6167,101.7667,3.64,62,0.74,1615220397,60
374,santa ana,RU,54.9109,71.2728,-12.93,93,5.26,1615220397,99
375,tateyama,RU,69.7008,170.3133,-27.25,88,4.34,1615220246,100
376,jazzin,BR,-9.0153,-42.6994,32.02,50,1.75,1615220397,74
377,motygino,GY,3.3803,-59.7968,28,74,5.14,1615220295,40
378,hearst,VU,-16.0999,167.4164,25.69,86,4.96,1615220397,99
379,dianopolis,PH,12.2188,125.4808,25.94,84,6.14,1615220397,21
380,havelock,IN,23.8667,76.9167,25.65,19,2.75,1615220397,0
381,srednekolymsk,ZW,-17.3667,30.2,21.12,78,2.03,1615220350,81
382,safwah,RU,57.2639,103.7519,-14.02,95,2.11,1615220397,80
383,vandavasi,BR,-18.5933,-39.7322,30.25,66,2.6,1615220397,25
384,fort nelson,ID,-10.1667,123.5833,26.47,82,2.68,1615220398,41
385,karakendzha,NE,18.6853,12.9164,34.42,8,3.03,1615220398,0
386,xapuri,ZM,-8.7623,31.1141,21.03,81,1.96,1615220398,100
387,vuktyl,VG,18.4167,-64.6167,27.24,65,4.63,1615220142,40
388,kortkeros,CI,7.4292,-6.0431,36.6,33,2.36,1615220398,98
389,yerbogachen,BR,-3.41,-39.0306,27.78,79,7.15,1615220398,56
390,san angelo,BR,-28.24,-48.6703,29,61,4.63,1615220247,75
391,kamenskoye,US,64.5011,-165.4064,0,98,14.25,1615220244,100
392,codrington,JP,43.2169,141.5169,-6.67,71,1.61,1615220399,46
393,molde,IN,17.65,83.2667,25,88,1.03,1615220399,20
394,mount isa,PH,14.3122,121.1114,26.77,65,2.57,1615220216,20
395,yumen,US,37.2698,-81.2223,7,22,3.6,1615220399,1
396,provideniya,GB,51.3413,0.7328,8.33,65,1.81,1615220399,100
397,saldanha,LY,32.767,22.6367,16.79,71,8.45,1615220399,62
398,ukiah,IQ,34.4816,41.9093,17.85,41,3.18,1615220400,0
399,marienburg,SB,-8.145,159.5921,26.31,77,1.71,1615220288,96
400,krasnyy,US,31.5791,-90.4407,17.04,34,2.61,1615220400,0
401,mys shmidta,PF,-17.7333,-149.15,27.89,69,8.75,1615220268,75
402,mbacke,SE,65.8252,21.6886,-7,79,1.54,1615220400,0
403,ardmore,CM,4.1527,9.241,33,62,2.57,1615220400,20
404,nanortalik,UA,50.7723,29.2383,-4,93,7,1615220400,75
405,yanam,CL,-20.2208,-70.1431,23,68,3.6,1615220400,40
406,usakos,MX,15.7432,-96.4661,28.47,69,2.03,1615220270,40
407,xining,CN,22.2769,113.5678,20,83,7.72,1615220400,20
408,isilkul,RU,68.6073,31.7962,-22,84,2,1615220401,0
409,pevek,CN,37.7322,115.7011,8.15,58,3.19,1615220401,100
410,chagda,BR,-3.9839,-38.7273,28.6,83,3.6,1615220401,75
411,sao raimundo nonato,NC,-22.6667,167.4833,23.74,70,5.6,1615220284,0
412,lethem,US,21.4022,-157.7394,21.9,78,6.17,1615220253,75
413,lakatoro,US,21.3469,-158.0858,20.69,83,2.57,1615220402,1
414,alugan,NZ,-45.4167,167.7167,7.24,86,1.09,1615220279,41
415,biaora,RU,46.6733,141.8633,-15,92,1,1615220402,2
416,chinhoyi,CG,-1.8764,15.8644,27.2,72,0.12,1615220402,99
417,rudnogorsk,CN,22.7886,100.9748,15.42,34,0.56,1615220402,0
418,conceicao da barra,US,20.8911,-156.5047,19.71,83,5.14,1615220402,1
419,kupang,IT,45.5966,12.8758,11.7,62,1.8,1615220402,8
420,bilma,GW,11.2833,-15.8333,26.13,61,5.56,1615220280,0
421,mpulungu,BR,-2.9248,-39.9167,30.34,62,6.95,1615220275,78
422,road town,IN,25.9667,84.8667,22,60,2.57,1615220403,0
423,dien bien,SS,4.4133,32.5678,30.61,31,0.74,1615220246,14
424,zuenoula,AO,-10.7073,22.2247,21.16,92,2.86,1615220333,78
425,paracuru,RU,69.4128,30.222,-15,85,1.54,1615220403,0
426,yanchukan,PT,39.05,-27.9833,14.49,91,1.16,1615220236,51
427,imbituba,UZ,39.9343,64.3814,11,76,2.06,1615220403,0
428,nome,MX,25.35,-105.7333,16.85,30,1.21,1615220404,0
429,tobetsu,US,40.8021,-124.1637,5.67,77,1.79,1615220218,61
430,yarada,MU,-20.0064,57.6608,26.67,81,2.11,1615220238,41
431,santa rosa,BR,-14.7972,-57.2881,26.78,85,1.23,1615220404,93
432,bluefield,GH,4.8845,-1.7554,29.2,74,5.68,1615220404,69
433,sittingbourne,VU,-19.55,169.2667,21,94,3.83,1615220262,20
434,darnah,MX,23.0167,-98.8833,20.56,74,0.45,1615220404,98
435,rawah,ZA,-34.0363,23.0471,18,68,3.09,1615220405,75
436,buala,RU,54.8932,44.2963,-9.77,95,3.68,1615220405,79
437,burica,RU,51.3223,42.7678,-2.22,93,2.64,1615220280,100
438,brookhaven,PW,7.0419,134.2556,24,100,2.06,1615220405,90
439,tautira,RU,56.1667,91.8167,-1,55,5,1615220405,0
440,boden,MX,30.4833,-115.95,13.87,70,5.97,1615220405,99
441,buea,PE,-13.7,-76.2167,24.92,73,4.12,1615220405,0
442,malyn,CA,68.3499,-133.7218,-26.95,77,1.03,1615220406,0
443,iquique,NP,27.6298,85.5214,15,77,1.54,1615220406,20
444,pochutla,RO,46.4333,26.4,7.89,29,4.63,1615220284,40
445,zhuhai,IN,23.95,76.0833,27.03,17,4.34,1615220406,0
446,verkhnetulomskiy,VN,18.3333,105.9,21.46,93,0.98,1615220406,18
447,hengshui,LK,6.4788,79.9828,27.08,80,0.98,1615220406,98
448,papara,NA,-20.1167,16.15,27.91,36,3.43,1615220407,46
449,grand river south east,RU,66,111.5,-21.37,90,2.9,1615220246,43
450,vao,CA,63.7506,-68.5145,-15,72,1.03,1615220251,75
451,kailua,CL,-33.4569,-70.6483,30.08,37,1.03,1615220268,0
452,hihifo,PT,41.7178,-8.8571,15.01,58,5.14,1615220407,20
453,makakilo city,VN,9.1769,105.15,24.42,82,2.09,1615220253,78
454,te anau,US,42.0411,-87.6901,13.12,41,7.72,1615220387,40
455,nevelsk,SB,-9.4333,159.95,25.05,80,0.38,1615220407,49
456,gamboma,DO,18.4273,-68.9728,31,66,4.63,1615220289,75
457,simao,BD,20.8624,92.3058,22.5,88,1.91,1615220116,3
458,wailuku,CN,27.3409,117.4831,12.6,87,1.26,1615220408,89
459,caorle,IN,23.55,86.6667,25,65,2.57,1615220408,0
460,bubaque,JP,33.7333,135.9833,6.65,78,2.25,1615220263,25
461,itarema,GE,41.9563,42.9566,4,93,2.57,1615220408,90
462,marhaura,RU,58.8454,32.2222,-11.35,95,2.86,1615220408,15
463,torit,RU,60.8697,60.4153,-17.44,95,0.6,1615220408,100
464,luau,NO,62.3873,6.557,-0.06,87,3.58,1615220408,100
465,ouranopolis,FR,43.1,-0.05,7,93,2.57,1615220408,90
466,nikel,ID,-9.1061,124.8925,23.96,89,0.72,1615220255,69
467,lagoa,AU,-37.8333,140.7667,12,94,2.57,1615220409,75
468,romitan,JP,34.6667,138.95,4.44,94,2.24,1615220409,96
469,santa catarina de tepehuanes,RU,67.4667,78.7,-24.48,90,3.67,1615220282,100
470,eureka,NC,-21.5667,165.4833,21.79,84,1.56,1615220409,3
471,grand gaube,KZ,52.8339,70.7803,-13.64,92,7.67,1615220410,94
472,nova olimpia,RU,57.4552,45.7852,-9.97,96,2.38,1615220410,74
473,bargal,GN,10.5,-12,38.29,13,1.63,1615220410,66
474,takoradi,VE,7.7669,-72.225,26,89,4.12,1615220240,40
475,isangel,US,30.4944,-92.4176,17.67,29,5.66,1615220330,1
476,xicotencatl,MG,-19.5167,45.4667,25.93,79,1.8,1615220168,2
477,knysna,RU,62.5333,155.8,-32.32,82,1.58,1615220297,97
478,imeni stepana razina,BJ,7.9281,1.9756,39.33,21,2.36,1615220410,38
479,kamenka,CL,-33.0393,-71.6273,17.2,100,3.6,1615220237,90
480,kloulklubed,CA,53.1001,-111.7684,-2.31,80,5.14,1615220267,100
481,kedrovyy,BR,-0.1303,-67.0892,27,83,4.12,1615220273,40
482,san quintin,CO,11.2408,-74.199,30.56,65,9.83,1615220411,100
483,pisco,PE,-6.8367,-79.9342,26.24,61,2.57,1615220411,0
484,inuvik,LK,5.9485,80.5353,25.98,83,4.24,1615220412,21
485,banepa,US,28.017,-97.5169,21.68,64,7.2,1615220286,75
486,asau,SA,17.4924,44.1277,26,21,4.63,1615220281,0
487,marcona,MR,20.931,-17.0347,26,36,9.26,1615220253,0
488,susner,PG,-3.6667,152.4333,25.83,77,2.79,1615220265,100
489,ha tinh,MX,19.9333,-105.25,30.74,37,0.75,1615220352,4
490,beruwala,IN,22.2394,68.9678,24.44,84,3.88,1615220412,0
491,solovetskiy,TH,14.8818,103.4936,28.13,77,2.57,1615220412,13
492,outjo,BD,23.0396,89.6328,22.5,77,3.69,1615220412,5
493,aykhal,AU,-33.8667,121.9,17,88,4.63,1615220247,75
494,iqaluit,PT,37.7333,-25.6667,16,77,5.66,1615220412,20
495,santiago,RU,59.5833,151.2833,-25,84,1.48,1615220281,37
496,areosa,ES,42.25,-2.5,9.71,62,3.6,1615220413,75
497,ca mau,RU,51.3088,119.61,-9.55,92,5.14,1615220413,20
498,evanston,IS,65.9702,-18.5286,7,65,6.17,1615220413,75
499,honiara,PH,18.0576,120.734,26,78,2.06,1615220413,20
500,la romana,IN,27.9167,96.1667,20.61,39,2.08,1615220283,32
501,teknaf,IN,25.9,91.8833,19,72,1.49,1615220413,40
502,shaowu,RU,52.2667,79.1667,-9.7,95,5.43,1615220287,92
503,raghunathpur,PL,54.0616,19.6593,0,81,1.34,1615220413,44
504,shingu,PF,-16.5167,-151.75,28.12,76,9.56,1615220414,100
505,khani,GL,66.9395,-53.6735,-8.24,92,3.73,1615220257,99
506,umzimvubu,RU,65.8522,44.24,-30.81,86,2.58,1615220280,65
507,malaya vishera,US,36.175,-115.1372,16.77,23,5.66,1615220145,1
508,polunochnoye,CL,-41.8697,-73.8203,15.48,59,2.57,1615220065,0
509,ikornnes,US,39.0911,-94.4155,15.76,31,10.29,1615220414,1
510,lourdes,PH,7.2155,121.952,25,83,0.94,1615220414,40
511,atambua,US,30.0474,-99.1403,13.65,77,2.57,1615220316,90
512,mount gambier,RU,63.05,179.3167,-25.85,89,3.41,1615220276,100
513,shimoda,PE,-15.9803,-71.4606,20,42,4.63,1615220415,40
514,tazovskiy,GB,60.3964,-1.353,5,87,6.69,1615220264,75
515,bourail,PF,-22.4333,-151.3333,25.75,82,5.1,1615220287,47
516,stepnyak,CA,54.2668,-110.735,-4.5,86,4.63,1615220415,75
517,uren,CN,24.5167,103.7667,13.44,50,0.38,1615220415,84
518,mamou,CA,49.7502,-77.6328,-7,45,7.2,1615220250,1
519,san cristobal,BR,-9.2368,-35.4901,31,66,5.14,1615220415,75
520,eunice,RU,60.3778,92.6267,-4.24,95,6.02,1615220416,100
521,miandrivazo,NZ,-35.1667,173.1667,15.55,81,1.91,1615220291,28
522,omsukchan,AU,-28.8667,153.5667,19.82,94,2.06,1615220416,40
523,savalou,CO,2.117,-76.9821,22.46,80,0.38,1615220416,100
524,valparaiso,BR,-26.4731,-49.0028,25.87,74,4.12,1615220416,40
525,viking,RU,54.3708,92.1358,-1.09,98,1.55,1615220416,100
526,sao gabriel da cachoeira,US,38.7192,-90.2604,16.19,31,4.12,1615220416,75
527,santa marta,CA,50.6856,-121.942,-1.15,100,1.03,1615220416,90
528,pimentel,JP,32.6881,128.8419,11.19,77,9.01,1615220263,76
529,toungoo,SE,57.6409,18.296,-0.33,59,3.6,1615220417,20
530,matara,UY,-34.6667,-54.9167,25.77,61,1.03,1615220417,75
531,san patricio,IT,37.7966,12.4352,16,77,6.69,1615220417,20
532,najran,PH,18.2529,120.6125,26,78,2.06,1615220417,20
533,nouadhibou,GB,57.4791,-4.224,11.45,58,1.54,1615220417,40
534,namatanai,SA,24.6877,46.7219,27.25,15,2.57,1615220308,0
535,tomatlan,PH,6.3711,126.1689,27.39,76,6.47,1615220289,53
536,dwarka,CN,48.4833,124.8333,-5.39,94,3.88,1615220418,31
537,surin,CA,50.0334,-66.8654,-3,50,1.17,1615220418,20
538,kalia,KZ,51.9556,66.4042,-12.62,94,7.82,1615220418,46
539,esperance,US,38.2856,-85.8241,12.73,30,4.12,1615220418,75
540,ponta delgada,RU,47.1453,134.3383,-8.35,94,4.16,1615220419,25
541,ola,AU,-14.4667,132.2667,25,88,3.6,1615220367,40
542,la rioja,CN,20.0058,110.3542,23,88,5,1615220419,75
543,nerchinskiy zavod,US,42.2506,-75.833,-2.93,54,2.57,1615220304,1
544,dalvik,GF,5.4802,-53.2011,27.48,76,7.07,1615220419,68
545,barong,MM,25.3833,97.4,19.57,52,1.41,1615220302,36
546,tezu,BR,-6.6447,-51.995,29.37,68,1.31,1615220270,93
547,nongpoh,CN,30.2956,111.5047,7.29,88,0.53,1615220420,33
548,klyuchi,RU,53.1406,140.73,-13.43,89,1.69,1615220420,1
549,paslek,AU,-31.4333,152.9167,17.49,99,4.31,1615220420,100
550,vaitape,CL,-22.092,-70.1979,23.35,60,2.87,1615220287,7
551,sisimiut,CR,10,-83.0333,22,88,3.09,1615220420,75
552,mezen,PG,-3.5534,143.6268,25.41,82,1.51,1615220420,99
553,las vegas,CA,48.4669,-81.3331,-1,69,4.12,1615220420,90
554,borlange,ID,-3.8004,102.2655,25.33,68,1.73,1615220246,99
555,ancud,SL,7.5264,-12.505,29.42,67,5.13,1615220421,49
556,independence,MX,19.3667,-103.7167,26,50,0.54,1615220421,1
557,lintangan,NC,-21.55,167.8833,23.7,85,6.63,1615220421,36
558,kerrville,IR,33.5959,56.9244,19.33,23,2.39,1615220421,0
559,beringovskiy,UA,48.2135,30.0156,0.04,96,2.78,1615220421,100
560,pucara,RU,51.1567,82.195,0.29,97,8.61,1615220421,100
561,brae,NG,4.7084,6.7931,35,52,3.6,1615220422,75
562,moerai,NC,-21.35,165.15,22.24,83,1.68,1615220282,7
563,bonnyville,CL,-35.3333,-72.4167,23.28,33,5.86,1615220253,1
564,zhongshu,MR,20.5022,-10.0711,26.78,19,6.36,1615220422,0
565,matagami,ID,-3.7508,103.6372,22.51,90,0.43,1615220422,100
566,passo de camaragibe,RE,-21.3393,55.4781,25.11,78,1.03,1615220422,0
567,teya,US,37.2001,-94.3502,15.64,31,8.23,1615220423,1
568,ahipara,US,46.7379,-119.9028,0,65,6.26,1615220423,100
569,ballina,PH,7.9986,124.2928,24.44,88,1.79,1615220423,15
570,el bordo,GA,-0.7193,8.7815,31,66,3.09,1615220423,20
571,guaramirim,TZ,-11.3,35.0333,17.52,97,0.38,1615220423,100
572,mrirt,US,40.0444,-111.7321,12.26,30,1.54,1615220424,20
573,idrinskoye,EG,31.4044,30.4164,19,63,4.12,1615220424,0
574,jennings,GR,35.1,24.6833,12.86,85,2.71,1615220424,100
575,lillooet,ZM,-14.2426,31.3253,19.46,99,1.52,1615220424,100
576,fukue,RU,52.5178,99.825,-11.1,85,1.78,1615220425,100
577,visby,CN,35.5639,114.5058,8.33,55,3.51,1615220425,100
578,maldonado,EC,0.6,-80.0333,24.49,89,1.74,1615220425,100
579,marsala,ZW,-20.0637,30.8277,22.43,68,2.51,1615220425,0
580,bacarra,CO,1.1983,-70.1733,21.81,98,0.85,1615220425,100
581,inverness,US,37.2153,-93.2982,14.16,41,7.2,1615220159,1
582,riyadh,FI,66.5,25.7167,-10,79,2.57,1615220296,0
583,saleaula,IR,28.7519,54.5444,16.97,28,1.1,1615220426,0
584,pundaguitan,,,,,,,,
585,nehe,,,,,,,,
586,port-cartier,,,,,,,,
587,esil,,,,,,,,
588,new albany,,,,,,,,
589,lermontovka,,,,,,,,
590,samalaeulu,,,,,,,,
591,katherine,,,,,,,,
592,qiongshan,,,,,,,,
593,broome,,,,,,,,
594,iracoubo,,,,,,,,
595,myitkyina,,,,,,,,
596,sao felix do xingu,,,,,,,,
597,zhicheng,,,,,,,,
598,nikolayevsk-na-amure,,,,,,,,
599,port macquarie,,,,,,,,
600,tocopilla,,,,,,,,
601,limon,,,,,,,,
602,wewak,,,,,,,,
603,timmins,,,,,,,,
604,bengkulu,,,,,,,,
605,bonthe,,,,,,,,
606,suchitlan,,,,,,,,
607,tadine,,,,,,,,
608,tabas,,,,,,,,
609,zavallya,,,,,,,,
610,zmeinogorsk,,,,,,,,
611,abonnema,,,,,,,,
612,ruatoria,,,,,,,,
613,poya,,,,,,,,
614,constitucion,,,,,,,,
615,adrar,,,,,,,,
616,dibaya,,,,,,,,
617,payo,,,,,,,,
618,saint-pierre,,,,,,,,
619,jasper,,,,,,,,
620,lolua,,,,,,,,
621,mattawa,,,,,,,,
622,marawi,,,,,,,,
623,port-gentil,,,,,,,,
624,tingi,,,,,,,,
625,payson,,,,,,,,
626,rosetta,,,,,,,,
627,ayia galini,,,,,,,,
628,petauke,,,,,,,,
629,orlik,,,,,,,,
630,daokou,,,,,,,,
631,muisne,,,,,,,,
632,masvingo,,,,,,,,
633,mitu,,,,,,,,
634,gangotri,,,,,,,,
635,springfield,,,,,,,,
636,rovaniemi,,,,,,,,
637,darab,,,,,,,,
